lat,lon,years_present,min,max
43.75,11.75,35,1982,2016
43.75,12.25,35,1982,2016
44.25,6.75,35,1982,2016
44.25,7.25,35,1982,2016
44.25,7.75,35,1982,2016
44.25,10.75,35,1982,2016
44.25,11.25,35,1982,2016
44.25,11.75,35,1982,2016
44.75,6.75,35,1982,2016
44.75,7.25,35,1982,2016
44.75,7.75,35,1982,2016
44.75,8.25,35,1982,2016
44.75,8.75,35,1982,2016
44.75,9.25,35,1982,2016
44.75,9.75,35,1982,2016
44.75,10.25,35,1982,2016
44.75,10.75,35,1982,2016
44.75,11.25,35,1982,2016
44.75,11.75,35,1982,2016
45.25,6.75,35,1982,2016
45.25,7.25,35,1982,2016
45.25,7.75,35,1982,2016
45.25,8.25,35,1982,2016
45.25,8.75,35,1982,2016
45.25,9.25,35,1982,2016
45.25,9.75,35,1982,2016
45.25,10.25,35,1982,2016
45.25,10.75,35,1982,2016
45.25,11.25,35,1982,2016
45.25,11.75,35,1982,2016
45.75,7.75,35,1982,2016
45.75,8.25,35,1982,2016
45.75,8.75,35,1982,2016
45.75,9.25,35,1982,2016
45.75,9.75,35,1982,2016
45.75,10.25,35,1982,2016
45.75,10.75,35,1982,2016
45.75,11.25,35,1982,2016
45.75,11.75,35,1982,2016
46.25,11.75,35,1982,2016
46.25,12.25,35,1982,2016
46.75,12.25,35,1982,2016
